大項目,中項目,小項目,設問,設問様式,選択肢,配点
2消費者の保護支援,2.体制・推進部署,D.社内研修　,(1)消費者志向経営を実現するための従業員研修等を実施していますか,択一,a.消費者志向経営を実現するための従業員研修等を実施していない、もしくは不明,0
2消費者の保護支援,2.体制・推進部署,D.社内研修　,(1)消費者志向経営を実現するための従業員研修等を実施していますか,択一,b.同研修等を消費者に直接関わる従業員にのみ実施している,1
2消費者の保護支援,2.体制・推進部署,D.社内研修　,(1)消費者志向経営を実現するための従業員研修等を実施していますか,択一,c.同研修等を全ての従業員に実施している,3
2消費者の保護支援,2.体制・推進部署,D.社内研修　,(1)消費者志向経営を実現するための従業員研修等を実施していますか,択一,d.同研修等をさらに経営層にも実施している,5
2消費者の保護支援,2.体制・推進部署,D.社内研修　,(2)選択肢のb～dの内容を含んだ研修を実施していますか,複数,a.b～dの内容を含んだ研修を実施してない、もしくは不明,0
2消費者の保護支援,2.体制・推進部署,D.社内研修　,(2)選択肢のb～dの内容を含んだ研修を実施していますか,複数,b.自社の事業に関連した「消費者関連の法令・制度」の内容がある,2
2消費者の保護支援,2.体制・推進部署,D.社内研修　,(2)選択肢のb～dの内容を含んだ研修を実施していますか,複数,c.消費者基本法にもとづく消費者の権利に関する内容がある,2
2消費者の保護支援,2.体制・推進部署,D.社内研修　,(2)選択肢のb～dの内容を含んだ研修を実施していますか,複数,d消費者基本法にもとづく事業者の責任に関する内容がある,2
2消費者の保護支援,3.具体的な課題への取組みー消費者対応、安全、広告・表示、データ活用,A.消費者の不満・苦情、要望への対応,"(1)多様な問合せ手段を用意していますか
【例】専門の対応部署における電話、メール、Webなどの他、SNS上での対応等",複数,a.多様な問合せ手段は用意していない、もしくは不明,0
2消費者の保護支援,3.具体的な課題への取組みー消費者対応、安全、広告・表示、データ活用,A.消費者の不満・苦情、要望への対応,"(1)多様な問合せ手段を用意していますか
【例】専門の対応部署における電話、メール、Webなどの他、SNS上での対応等",複数,b.平日に問合せできない人への対応を工夫している,1
